window_index,window_t_start,window_t_end,date_point,R_e_median,R_e_q0025,R_e_q0975
1,2,8,2020-03-07,4.838396529766303,2.2247995814507933,9.171589513933933
2,3,9,2020-03-08,4.606648130190054,2.3364445472343416,7.716542057703899
3,4,10,2020-03-09,3.6518825763131444,2.027632817922433,6.1755159436305025
4,5,11,2020-03-10,2.4822200825554166,1.4409609380912975,4.053248177166003
5,6,12,2020-03-11,2.652440806694057,1.7254274799358802,3.8641037110839958
6,7,13,2020-03-12,2.6964402315677454,1.7957995303811267,3.757409286079138
7,8,14,2020-03-13,3.0036544106095486,2.0862035470467233,4.124560387132799
8,9,15,2020-03-14,3.4714649970799725,2.3983714546965427,4.841875394050563
9,10,16,2020-03-15,3.7033061908466385,2.5151330598781505,5.292678628957556
10,11,17,2020-03-16,3.615959844649822,2.2782931690612775,5.215616277225115
11,12,18,2020-03-17,3.585180806999793,2.3243784594494907,5.222766416635765
12,13,19,2020-03-18,3.595208013879443,2.338974716321541,5.190288483788522
13,14,20,2020-03-19,3.1414586098212482,2.11362010139986,4.544262883844338
14,15,21,2020-03-20,2.8991634520995255,1.98168610084768,4.0591230285116815
15,16,22,2020-03-21,2.659702478519045,1.8719638783492398,3.559814060938722
16,17,23,2020-03-22,2.487841047058584,1.814604534158609,3.260651765963313
17,18,24,2020-03-23,2.510034989565217,1.886978748175337,3.2669796100532777
18,19,25,2020-03-24,2.196222089762689,1.6418955138768243,2.809058981257763
19,20,26,2020-03-25,2.177084625755066,1.7080525287086272,2.7352942427803852
20,21,27,2020-03-26,2.1328446127933285,1.6674992078295816,2.6417808590307534
21,22,28,2020-03-27,2.060108481355563,1.6735238325427844,2.498981486019706
22,23,29,2020-03-28,2.0658052436908663,1.6936921853116698,2.5000786431514963
23,24,30,2020-03-29,1.943430493580232,1.5898554397260505,2.385367603535595
24,25,31,2020-03-30,1.6252628259820643,1.3390675295218601,1.9761190287379735
25,26,32,2020-03-31,1.6480745078384191,1.4016509325327675,1.934848809351278
26,27,33,2020-04-01,1.526523909493458,1.3274600661999318,1.754415734225741
27,28,34,2020-04-02,1.4221185773255713,1.2617914124687073,1.5978265265590261
28,29,35,2020-04-03,1.3258645154672803,1.1886151800523628,1.4615928987757485
29,30,36,2020-04-04,1.1774284323489757,1.0715520694480725,1.2738189755435525
30,31,37,2020-04-05,1.101179095973556,1.0261892102201924,1.1761196322921437
31,32,38,2020-04-06,1.065908296959401,1.014868347148381,1.1205383997353737
32,33,39,2020-04-07,0.978512259063242,0.9360154985334034,1.0216350555665155
33,34,40,2020-04-08,0.9474570882534986,0.9127401447728328,0.98967553774634
34,35,41,2020-04-09,0.9578511235878963,0.9211184616225317,1.0015569530162671
35,36,42,2020-04-10,1.0963164205295137,1.0532543742572413,1.1402021902681627
36,37,43,2020-04-11,1.0709934778276757,1.0378294138242408,1.1031035032136667
37,38,44,2020-04-12,1.0258104713400493,0.9982048833505079,1.0571542655519086
38,39,45,2020-04-13,0.9961881396843887,0.9668014653857386,1.0248449177685264
39,40,46,2020-04-14,0.9539196950914055,0.9264763714863872,0.9829954400731233
40,41,47,2020-04-15,0.9453524667982964,0.9180480351929264,0.9728369524276145
41,42,48,2020-04-16,0.9412114841267236,0.9120159116616224,0.9721850382606216
42,43,49,2020-04-17,0.6904557995373884,0.6666932319236291,0.7156902889537958
43,44,50,2020-04-18,0.7425226227338708,0.7003520112832621,0.7906945099431012
44,45,51,2020-04-19,0.7686637971814724,0.7085388073740954,0.8358322117910366
45,46,52,2020-04-20,0.8788504893340667,0.8123910326756529,0.9524300380880355
46,47,53,2020-04-21,0.9217847447318701,0.8632394134458167,0.9830902220095498
47,48,54,2020-04-22,0.9394673728158022,0.8952938467577304,0.98727892655217
48,49,55,2020-04-23,0.8647178153255862,0.8296066428020638,0.9017237543015025
49,50,56,2020-04-24,0.9483812255884962,0.9117205988990119,0.9857163790647997
50,51,57,2020-04-25,0.9507334314857958,0.914835847136105,0.9886015946797648
51,52,58,2020-04-26,0.951943424453105,0.9166775264642502,0.9864745604244646
52,53,59,2020-04-27,0.8319887206091235,0.8013262730395598,0.8630186062518171
53,54,60,2020-04-28,0.7896116475042747,0.7578879934822383,0.8218522730745554
54,55,61,2020-04-29,0.7015364022302364,0.6627641199725716,0.7446132374542972
55,56,62,2020-04-30,0.7889598243827057,0.7358883355333363,0.8506550919230882
56,57,63,2020-05-01,0.6981999562281653,0.6422347397679953,0.7562643878180457
57,58,64,2020-05-02,0.5883079138883647,0.5393502838212515,0.6369666058649739
58,59,65,2020-05-03,0.5018176371924306,0.44437481606325197,0.5538219430410865
59,60,66,2020-05-04,0.5840457870655119,0.5119319685471472,0.6606181453019188
60,61,67,2020-05-05,0.600531313167691,0.5202565428425086,0.6946161893221854
