window_index,window_t_start,window_t_end,date_point,R_e_median,R_e_q0025,R_e_q0975
1,2,8,2020-03-07,4.9010510514405485,2.1881528143706976,9.232502004067216
2,3,9,2020-03-08,4.4228962407347385,2.155278118567301,7.711118004275013
3,4,10,2020-03-09,3.608145702924787,1.9592259542918269,6.409574354153977
4,5,11,2020-03-10,2.493963906993452,1.3894638582423229,3.9792624398735517
5,6,12,2020-03-11,2.6244381091538136,1.7430517695072352,3.957664847859763
6,7,13,2020-03-12,2.7504212983045386,1.9051333101991432,3.891228373222306
7,8,14,2020-03-13,3.0248774545242965,2.1254837406375664,4.217885918794855
8,9,15,2020-03-14,3.4577686187123184,2.406977365559449,4.719771028703704
9,10,16,2020-03-15,3.6838722571281446,2.4705680072896556,5.170304674758608
10,11,17,2020-03-16,3.6118201371309038,2.4006274790975084,5.212390809309069
11,12,18,2020-03-17,3.520118474318699,2.317920707923437,5.111565331867776
12,13,19,2020-03-18,3.616706482492961,2.40611829323609,5.330784586749496
13,14,20,2020-03-19,3.112704216041158,2.1006718908187656,4.451405393004125
14,15,21,2020-03-20,2.93779430878826,1.9539658851382458,4.128342772278775
15,16,22,2020-03-21,2.6666053472298126,1.8777062931198463,3.602193897190727
16,17,23,2020-03-22,2.5102799214636002,1.807329246777901,3.339486148757385
17,18,24,2020-03-23,2.482346726163976,1.8481291267538882,3.2262703629024374
18,19,25,2020-03-24,2.201003241761021,1.667059432040195,2.857149700087384
19,20,26,2020-03-25,2.1912473438936857,1.7047437992173153,2.7472717656000056
20,21,27,2020-03-26,2.112506554971148,1.703080855017526,2.58470076848089
21,22,28,2020-03-27,2.056845711338754,1.6729575260072487,2.5409315543765683
22,23,29,2020-03-28,2.0623715144646395,1.6618613288639676,2.500409026065042
23,24,30,2020-03-29,1.9354377413126151,1.5942744128359134,2.317030235106479
24,25,31,2020-03-30,1.6343245303662068,1.3345913270230323,1.989004916406839
25,26,32,2020-03-31,1.659941077983157,1.4065329060316383,1.95473079761022
26,27,33,2020-04-01,1.530035045858126,1.332614531355236,1.7412975143412603
27,28,34,2020-04-02,1.4254166149330763,1.262282465058318,1.5971230097265356
28,29,35,2020-04-03,1.3245115590548897,1.1976649529520453,1.466336059663831
29,30,36,2020-04-04,1.1704399229476188,1.0747138414209232,1.2745867747729702
30,31,37,2020-04-05,1.1974226497756026,1.1225923571506118,1.278354153987849
31,32,38,2020-04-06,1.2021367717563882,1.1358366169590515,1.266809385673335
