window_index,window_t_start,window_t_end,date_point,R_e_median,R_e_q0025,R_e_q0975
1,2,8,2020-03-07,4.935250466733091,2.333238519731731,9.248478057275438
2,3,9,2020-03-08,4.453919295808558,2.2082490947460243,8.129153453773093
3,4,10,2020-03-09,3.574281899249315,1.9241651446936707,6.173147530328729
4,5,11,2020-03-10,2.46478105500447,1.378052661923936,4.006824606638803
5,6,12,2020-03-11,2.620753020733392,1.7517319278477224,3.7782184267656915
6,7,13,2020-03-12,2.726856835683704,1.8075884110187856,3.7904842420508285
7,8,14,2020-03-13,3.0077704687320472,2.134720850662968,4.169186026594598
8,9,15,2020-03-14,3.491674628186361,2.4606878934642333,4.881909623764952
9,10,16,2020-03-15,3.657032707474828,2.5456518321888426,5.282718317797785
10,11,17,2020-03-16,3.5958299797881343,2.235354501150142,5.283893203451754
11,12,18,2020-03-17,3.510142476852389,2.307284337722972,5.091923989605704
12,13,19,2020-03-18,3.6741933413645533,2.38966555393349,5.135641293424417
13,14,20,2020-03-19,3.1333853655876145,1.9688818603711673,4.531207463149239
14,15,21,2020-03-20,2.9583136576699984,1.9267482145957069,4.152696503663396
15,16,22,2020-03-21,2.668296172938495,1.8873493529008945,3.6278840445515352
16,17,23,2020-03-22,2.5026018476488434,1.8826650024144753,3.289568319733795
17,18,24,2020-03-23,2.528164510465353,1.8974645522759832,3.2691614497082115
18,19,25,2020-03-24,2.241010948844317,1.730521365476162,2.878267423620164
19,20,26,2020-03-25,2.173728506963041,1.6842938472642832,2.689928697768653
20,21,27,2020-03-26,2.1209530605846187,1.7270439694836845,2.59922745762023
21,22,28,2020-03-27,2.046902928715344,1.6650514821560056,2.5514953632874104
22,23,29,2020-03-28,2.055699549611721,1.6750938888148212,2.4913254835481378
23,24,30,2020-03-29,1.937022670185049,1.5830278242629774,2.3612010706543223
24,25,31,2020-03-30,1.6333687111950193,1.3459232884720171,1.9621676855421315
25,26,32,2020-03-31,1.6640545610565571,1.4150808838658515,1.9448714590436156
26,27,33,2020-04-01,1.521026361284239,1.3115877526446305,1.7343571760527203
27,28,34,2020-04-02,1.4282469438916565,1.267302470391655,1.6072445318765411
28,29,35,2020-04-03,1.329313862428532,1.1913698449448016,1.4732942860402556
29,30,36,2020-04-04,1.1741233490717646,1.0774159338625984,1.284764665041911
30,31,37,2020-04-05,1.1034081689108008,1.0291012588934576,1.1786510634390541
31,32,38,2020-04-06,1.065444598787364,1.0095114910953213,1.1159275087863214
32,33,39,2020-04-07,0.9801119365320516,0.9374933942750968,1.022729083690435
33,34,40,2020-04-08,0.9499492613222612,0.9109716894301513,0.9867928862676175
34,35,41,2020-04-09,0.9576597032922313,0.9198361659910419,0.9966649438318054
35,36,42,2020-04-10,1.0963881634409334,1.0549538435778985,1.1399772077197579
36,37,43,2020-04-11,1.0711363794652473,1.0426871401832771,1.1005375606102274
37,38,44,2020-04-12,1.0274472727884272,0.996585547289902,1.057087304341063
38,39,45,2020-04-13,0.9962914285822344,0.9666340820610566,1.0248160764857934
39,40,46,2020-04-14,0.9543830597812597,0.9264147762623497,0.9816469233188052
40,41,47,2020-04-15,0.9449202090797333,0.919520685357689,0.9750351662663803
41,42,48,2020-04-16,0.94064899620999,0.9112353856225925,0.970155191420535
42,43,49,2020-04-17,0.6910784511945398,0.665232078256745,0.7180401124267823
43,44,50,2020-04-18,0.7427290521847318,0.7018763357252412,0.788576224879367
44,45,51,2020-04-19,0.7690165443704973,0.7106439530662265,0.8342397415188169
45,46,52,2020-04-20,0.881527338393876,0.8169826116853006,0.9488638990044185
46,47,53,2020-04-21,0.9209462790571905,0.8602112700539374,0.9750558146823567
47,48,54,2020-04-22,0.9387169042949779,0.8954839056809746,0.9805938777185474
48,49,55,2020-04-23,0.864809134728877,0.8281011420669983,0.9038414648854632
49,50,56,2020-04-24,0.9490039479399145,0.9086184773520527,0.9857350921202641
50,51,57,2020-04-25,0.9508920376759717,0.9160488566267699,0.9892682805638926
51,52,58,2020-04-26,0.9499939140184319,0.9160252546575972,0.9856771926075033
52,53,59,2020-04-27,0.8316450314810819,0.8003323358476395,0.8619305979549231
53,54,60,2020-04-28,0.7886882289184004,0.7572834441191629,0.8234823062852119
54,55,61,2020-04-29,0.6999646814335838,0.659169058310313,0.7393416331117758
55,56,62,2020-04-30,0.7885348556944161,0.7335009255713053,0.8503596650391885
56,57,63,2020-05-01,0.696793190870473,0.6428455421840739,0.75329524706478
57,58,64,2020-05-02,0.5889319714035712,0.5393770600727619,0.6379226366217
58,59,65,2020-05-03,0.499462008714344,0.4509183435360312,0.5555404384897175
59,60,66,2020-05-04,0.5818333030720326,0.5076768432841594,0.6582681593628849
60,61,67,2020-05-05,0.8075877882165106,0.6992253600489057,0.9215946025181875
61,62,68,2020-05-06,1.0457997670713692,0.933457190034016,1.1652478512181677
62,63,69,2020-05-07,1.0871587340938937,0.9958796095608136,1.1786936749228696
63,64,70,2020-05-08,1.1592833087367131,1.0719401567383573,1.2515082444585885
64,65,71,2020-05-09,1.1558501729917925,1.0631277110257829,1.252544372007076
65,66,72,2020-05-10,1.1283392794933271,1.0385780456169087,1.2173869043916115
66,67,73,2020-05-11,1.094312069023429,1.0211587481998956,1.174765335127265
67,68,74,2020-05-12,0.8693248799115944,0.8201358178660493,0.9202149313575481
68,69,75,2020-05-13,0.7112760413910042,0.6746855984294051,0.7481162874252654
69,70,76,2020-05-14,0.6019373104704522,0.5625649745795667,0.6474874059341802
70,71,77,2020-05-15,0.6847085504518436,0.6159466932475042,0.7602444498589144
71,72,78,2020-05-16,0.7712990954619918,0.6857149694881453,0.8594383849781011
72,73,79,2020-05-17,0.8644974778706486,0.7803217452754428,0.952007903102662
73,74,80,2020-05-18,0.8999364734062785,0.8310856816313824,0.9759323352004788
74,75,81,2020-05-19,0.939357658241875,0.8789805810702672,1.0037758194362054
75,76,82,2020-05-20,1.0013333277194458,0.9469623964626203,1.0592341560711345
76,77,83,2020-05-21,1.0312698763087171,0.9716203089235146,1.0847164965326714
77,78,84,2020-05-22,1.0567694592150318,0.9992338863767805,1.1130652721057264
78,79,85,2020-05-23,1.0035762904968117,0.9484781849880803,1.0628861389210955
79,80,86,2020-05-24,0.990396725876664,0.9423110478327505,1.0467716496810484
80,81,87,2020-05-25,0.987540715324,0.939001810256248,1.0390430094269316
81,82,88,2020-05-26,1.0250260529646498,0.9807335747919614,1.0755789013945845
82,83,89,2020-05-27,1.0565302961382328,1.0089377348028585,1.1117878235400374
83,84,90,2020-05-28,1.0883713856946828,1.038099243490352,1.1401398901666033
84,85,91,2020-05-29,1.067139414752007,1.011229952195446,1.121702159397058
85,86,92,2020-05-30,1.1374889464503128,1.084048994703075,1.1957034516958498
86,87,93,2020-05-31,1.1368112640804409,1.0787848931214186,1.1962628390204189
87,88,94,2020-06-01,1.096203656125154,1.0386745857358968,1.1523590931972585
88,89,95,2020-06-02,1.1141890149252947,1.057647368688013,1.176850364081698
89,90,96,2020-06-03,1.107013353944844,1.0513157675708544,1.164630173603262
90,91,97,2020-06-04,1.0951584970682329,1.0383981575592782,1.153348267008202
91,92,98,2020-06-05,1.1385117291057756,1.0860881512663274,1.1944575548852927
92,93,99,2020-06-06,1.137498758410757,1.0807734018299755,1.1906781611219976
93,94,100,2020-06-07,1.10440339060911,1.0512822664228676,1.1587708235979264
94,95,101,2020-06-08,1.1873416370129373,1.1290040899654452,1.2462423575510837
