window_index,window_t_start,window_t_end,date_point,R_e_median,R_e_q0025,R_e_q0975
1,2,8,2020-03-07,5.036070386545181,2.4176723552016752,9.454502688063055
2,3,9,2020-03-08,4.501215833041056,2.187889817816237,7.886123692196098
3,4,10,2020-03-09,3.6980351723784763,1.927186467437416,6.215435766533159
4,5,11,2020-03-10,2.492560221335543,1.373280056050108,4.006831363163715
5,6,12,2020-03-11,2.6376525662529184,1.7449069591875306,3.7963345389304366
6,7,13,2020-03-12,2.666014592727226,1.8150285437337912,3.782260191993584
7,8,14,2020-03-13,3.0147912239128605,2.1171238894639792,4.128372974079178
8,9,15,2020-03-14,3.4757883281442874,2.4698554354297677,4.753979144870638
9,10,16,2020-03-15,3.686283138318246,2.5603199303424202,5.218507625014619
10,11,17,2020-03-16,3.6024086949154572,2.3673125289411687,5.119719323876505
11,12,18,2020-03-17,3.5619562056903225,2.2245946598984077,5.20563008067632
12,13,19,2020-03-18,3.579974107782596,2.306117828121227,5.281914421476941
13,14,20,2020-03-19,3.177704181506208,2.165930029338509,4.513788020048332
14,15,21,2020-03-20,2.8963095195911803,2.004223019010706,4.075820591018341
15,16,22,2020-03-21,2.664864331849368,1.8885198726543317,3.5883208012894685
16,17,23,2020-03-22,2.5150956183784894,1.8450700089008085,3.3759316672907205
17,18,24,2020-03-23,2.484113518925155,1.874220862630442,3.222348220550322
18,19,25,2020-03-24,2.216202574839391,1.7081855554691463,2.809704687435707
19,20,26,2020-03-25,2.1884348710125185,1.7145638451885485,2.739602279192184
20,21,27,2020-03-26,2.099991324342775,1.6866154386156806,2.632439291419029
21,22,28,2020-03-27,2.053505409611337,1.6596002815753,2.498807034379284
22,23,29,2020-03-28,2.0614341926810233,1.7003726260909642,2.4790389881896466
23,24,30,2020-03-29,1.9439492737597015,1.5873590331684844,2.3222176125025524
24,25,31,2020-03-30,1.6336914425246263,1.3315955140805342,1.9633679302431748
25,26,32,2020-03-31,1.6566790774118667,1.4117932392692045,1.9195270064618588
26,27,33,2020-04-01,1.5175104564669581,1.331432346770921,1.7382504929874596
27,28,34,2020-04-02,1.425100359343439,1.2552273533160578,1.5980301331615785
28,29,35,2020-04-03,1.3277990241367683,1.200001905985104,1.4688378781666265
29,30,36,2020-04-04,1.1718508410957373,1.0699422388910762,1.2734426125358353
30,31,37,2020-04-05,1.102560771132651,1.0353261141985217,1.1770567086339792
31,32,38,2020-04-06,1.06618618813804,1.0167398918252455,1.117418301850017
32,33,39,2020-04-07,0.9785602944507477,0.9388968089046494,1.0229538519321317
33,34,40,2020-04-08,0.9497938709216511,0.9130600739884724,0.9880183086709983
34,35,41,2020-04-09,0.9565193777457628,0.9157006761131551,0.9946637818860572
