date,lab_tested,lab_tested_new,confirmed,confirmed_new,inpatient,inpatient_new,ICU,ICU_new,recovered,recovered_new,death,death_new
2020-01-31,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA
2020-02-01,2,1,0,0,0,0,0,0,0,0,0,0
2020-02-04,3,1,0,0,0,0,0,0,0,0,0,0
2020-02-05,4,1,0,0,0,0,0,0,0,0,0,0
2020-02-10,6,2,0,0,0,0,0,0,0,0,0,0
2020-02-14,7,1,0,0,0,0,0,0,0,0,0,0
2020-02-16,9,2,0,0,0,0,0,0,0,0,0,0
2020-02-17,11,2,0,0,0,0,0,0,0,0,0,0
2020-02-18,12,1,0,0,0,0,0,0,0,0,0,0
2020-02-20,12,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,12,0,0,0,0,0,0,0,0,0,0,0
2020-02-22,12,0,0,0,0,0,0,0,0,0,0,0
2020-02-23,13,1,0,0,0,0,0,0,0,0,0,0
2020-02-24,16,3,0,0,0,0,0,0,0,0,0,0
2020-02-25,19,3,0,0,0,0,0,0,0,0,0,0
2020-02-26,25,6,0,0,0,0,0,0,0,0,0,0
2020-02-27,51,26,0,0,0,0,0,0,0,0,0,0
2020-02-28,59,8,0,0,0,0,0,0,0,0,0,0
2020-02-29,70,11,0,0,0,0,0,0,0,0,0,0
2020-03-01,85,15,0,0,0,0,0,0,0,0,0,0
2020-03-02,85,0,2,2,2,2,0,0,0,0,0,0
2020-03-03,101,16,4,2,4,2,0,0,0,0,0,0
2020-03-04,117,16,6,2,6,2,0,0,0,0,0,0
2020-03-05,147,30,9,3,9,3,0,0,0,0,0,0
2020-03-06,181,34,13,4,13,4,0,0,0,0,0,0
2020-03-07,224,43,21,8,21,8,0,0,0,0,0,0
2020-03-08,281,57,30,9,30,9,0,0,0,0,0,0
2020-03-09,339,58,39,9,38,8,0,0,0,0,0,0
2020-03-10,375,36,41,2,40,2,0,0,0,0,0,0
2020-03-11,471,96,59,18,57,17,0,0,0,0,0,0
2020-03-12,637,166,78,19,69,12,0,0,0,0,0,0
2020-03-13,1308,671,112,34,107,38,0,0,1,1,0,0
2020-03-14,1704,396,169,57,114,7,10,10,2,1,0,0
2020-03-15,2271,567,245,76,139,25,9,-1,2,0,0,0
2020-03-16,2908,637,331,86,139,0,18,9,3,1,1,1
2020-03-17,4030,1122,448,117,206,67,17,-1,3,0,1,0
2020-03-18,5067,1037,642,194,89,-117,20,3,3,0,2,1
2020-03-19,6061,994,785,143,89,0,20,0,3,0,3,1
2020-03-20,7732,1671,1020,235,126,37,26,6,5,2,6,3
2020-03-21,9854,2122,1280,260,156,30,35,9,5,0,12,6
2020-03-22,11779,1925,1600,320,169,13,41,6,5,0,14,2
2020-03-23,13674,1895,2060,460,201,32,47,6,14,9,23,9
2020-03-24,15474,1800,2362,302,203,2,48,1,22,8,29,6
2020-03-25,21155,5681,2995,633,276,73,61,13,22,0,43,14
2020-03-26,22257,1102,3544,549,191,-85,61,0,43,21,60,17
2020-03-27,25431,3174,4268,724,354,163,71,10,43,0,76,16
2020-03-28,32754,7323,5170,902,418,64,89,18,43,0,100,24
2020-03-29,38042,5288,5962,792,486,68,138,49,43,0,119,19
2020-03-30,44206,6164,6408,446,571,85,164,26,43,0,140,21
2020-03-31,52086,7880,7443,1035,627,56,188,24,43,0,160,20
2020-04-01,59457,7371,8251,808,726,99,230,42,43,0,187,27
2020-04-02,66895,7438,9034,783,1042,316,240,10,68,25,209,22
2020-04-03,74377,7482,9886,852,1058,16,245,5,68,0,246,37
2020-04-04,81087,6710,10524,638,1075,17,251,6,75,7,266,20
2020-04-05,86370,5283,11278,754,1084,9,267,16,75,0,295,29
2020-04-06,91794,5424,11730,452,1099,15,270,3,140,65,311,16
2020-04-07,99730,7936,12442,712,1180,81,271,1,184,44,345,34
2020-04-08,104886,5156,13141,699,1211,31,245,-26,196,12,380,35
2020-04-09,115158,10272,13956,815,1173,-38,241,-4,205,9,408,28
2020-04-10,123564,8406,15472,1516,1179,6,226,-15,233,28,435,27
2020-04-11,130300,6736,15987,515,1175,-4,233,7,266,33,470,35
2020-04-12,136243,5943,16585,598,1177,2,228,-5,277,11,504,34
2020-04-13,139184,2941,16934,349,1187,10,188,-40,277,0,535,31
2020-04-14,142514,3330,17448,514,1227,40,218,30,347,70,567,32
2020-04-15,150804,8290,18091,643,1200,-27,208,-10,383,36,599,32
2020-04-16,154727,3923,18841,750,1302,102,229,21,493,110,629,30
2020-04-17,158940,4213,19022,181,1284,-18,222,-7,519,26,657,28
2020-04-18,162711,3771,19685,663,1253,-31,228,6,610,91,687,30
2020-04-19,187604,24893,20206,521,1243,-10,224,-4,610,0,714,27
2020-04-20,198353,10749,20863,657,1208,-35,215,-9,610,0,735,21
2020-04-21,202769,4416,21379,516,1172,-36,213,-2,917,307,762,27
2020-04-22,210302,7533,21982,603,1146,-26,207,-6,1143,226,785,23
2020-04-23,219848,9546,22353,371,1095,-51,204,-3,1201,58,820,35
2020-04-24,227393,7545,22797,444,1068,-27,188,-16,1228,27,854,34
2020-04-25,231737,4344,23392,595,1040,-28,186,-2,1277,49,880,26
2020-04-26,236410,4673,23864,472,1005,-35,182,-4,1329,52,903,23
2020-04-27,237571,1161,24027,163,995,-10,176,-6,1357,28,928,25
2020-04-28,239065,1494,24322,295,936,-59,172,-4,1389,32,948,20
2020-04-29,243655,4590,24505,183,980,44,169,-3,1470,81,973,25
2020-04-30,247696,4041,25056,551,968,-12,172,3,1519,49,989,16
2020-05-01,247696,0,25056,0,892,-76,154,-18,1647,128,1007,18
2020-05-02,252728,5032,25190,134,855,-37,150,-4,1671,24,1023,16
2020-05-03,252889,161,25282,92,856,1,144,-6,1689,18,1043,20
2020-05-04,254510,1621,25524,242,813,-43,143,-1,1712,23,1063,20
2020-05-05,262041,7531,26182,658,838,25,136,-7,2076,364,1089,26
2020-05-06,265572,3531,26715,533,874,36,135,-1,2258,182,1105,16
2020-05-07,269266,3694,27268,553,842,-32,127,-8,2422,164,1114,9
2020-05-08,272443,3177,27406,138,815,-27,120,-7,2499,77,1126,12
2020-05-09,274536,2093,27581,175,797,-18,112,-8,2549,50,1135,9
2020-05-10,276153,1617,27679,98,805,8,112,0,2549,0,1144,9
2020-05-11,279933,3780,27913,234,709,-96,113,1,3013,464,1163,19
2020-05-12,282961,3028,28132,219,692,-17,103,-10,3182,169,1175,12
2020-05-13,286285,3324,28319,187,680,-12,108,5,3198,16,1184,9
2020-05-14,289309,3024,28583,264,673,-7,112,4,3328,130,1190,6
2020-05-15,292249,2940,28810,227,657,-16,115,3,3822,494,1203,13
