window_index,window_t_start,window_t_end,date_point,R_e_median,R_e_q0025,R_e_q0975
1,2,8,2020-03-07,5.116366316144518,2.3981131673388267,9.61092446481515
2,3,9,2020-03-08,4.547082182645157,2.119590021052513,7.733619846371567
3,4,10,2020-03-09,3.6633239376972595,1.9277432198145699,6.097725334875847
4,5,11,2020-03-10,2.4912233155854655,1.4551778030896807,4.055826982839756
5,6,12,2020-03-11,2.6765604757214962,1.6693493181883128,3.932560383811142
6,7,13,2020-03-12,2.6987245988737527,1.775809179733444,3.7518188350579003
7,8,14,2020-03-13,3.0289313783467495,2.085501402010632,4.2199754733705674
8,9,15,2020-03-14,3.453092998053288,2.4442730675737985,4.686359044832619
9,10,16,2020-03-15,3.675462692950273,2.5522079897312837,5.193992018794554
10,11,17,2020-03-16,3.610459762641465,2.348654292001501,5.315472899561849
11,12,18,2020-03-17,3.5794391333436546,2.2681889073860706,5.226196893671021
12,13,19,2020-03-18,3.631018222666708,2.3953021952052254,5.232920378107492
13,14,20,2020-03-19,3.1532612741936017,1.9724822449313635,4.506645703711705
14,15,21,2020-03-20,2.9403664481135636,2.015656325747372,4.102512012379888
15,16,22,2020-03-21,2.6558958006846467,1.8731560259361946,3.6508128138169633
16,17,23,2020-03-22,2.480388662857446,1.8578484855304913,3.2641261478235437
17,18,24,2020-03-23,2.5039503358712487,1.9139833150564594,3.253578474993148
18,19,25,2020-03-24,2.1712966169877905,1.6947647005641444,2.7884348282280538
19,20,26,2020-03-25,2.1719516516966992,1.6951009294335437,2.6818784115556276
20,21,27,2020-03-26,2.130195535303978,1.7052720366483394,2.608729147421914
21,22,28,2020-03-27,2.063437541502401,1.6456625149523672,2.524493287371784
22,23,29,2020-03-28,2.0600508515541534,1.6854185619922035,2.498149898855096
23,24,30,2020-03-29,1.924401898938984,1.5551102280841056,2.2803025072211605
24,25,31,2020-03-30,1.6358509306272038,1.3443919775660746,1.9773767715053812
25,26,32,2020-03-31,1.65985965524541,1.432246419571841,1.942087508296948
